timestamp,open,high,low,close,volume
2018-03-07,4.7400,5.0150,4.7100,4.9700,13087920
2018-03-06,4.7200,4.8450,4.6910,4.8000,10687983
2018-03-05,4.4500,4.7800,4.4400,4.7000,12925021
2018-03-02,4.2300,4.5000,4.1700,4.4800,9453360
2018-03-01,4.3800,4.4300,4.1800,4.2500,11285562
2018-02-28,4.3500,4.5100,4.2600,4.4100,15687453
2018-02-27,4.5000,4.5900,4.3400,4.3600,8646216
2018-02-26,4.3100,4.5100,4.2780,4.5000,10634322
2018-02-23,4.4900,4.4900,4.2000,4.3100,20263779
2018-02-22,5.0000,5.0000,4.3200,4.5200,37116111
2018-02-21,5.3900,5.4700,4.8600,4.8700,27845443
2018-02-20,5.1800,5.4700,5.1600,5.3300,16663564
2018-02-16,5.1500,5.2300,4.9500,5.1600,14542019
2018-02-15,4.9400,5.3350,4.8900,5.0500,19525892
2018-02-14,4.8200,4.9100,4.7600,4.9000,6661142
2018-02-13,4.6500,4.8900,4.6100,4.8200,4804779
2018-02-12,4.6300,4.7100,4.5200,4.6500,4067161
2018-02-09,4.6900,4.8000,4.4300,4.5900,6450837
2018-02-08,4.8700,4.9100,4.6400,4.6500,6011323
2018-02-07,4.8500,4.9700,4.8050,4.8500,4913232
2018-02-06,4.7600,4.8550,4.7000,4.8300,6590759
2018-02-05,4.9900,5.1300,4.8800,4.9100,8013133
2018-02-02,5.1400,5.3900,5.0300,5.0800,9904648
2018-02-01,4.7600,5.2200,4.7500,5.1400,17015488
2018-01-31,4.6400,4.8000,4.5900,4.7800,14533030
2018-01-30,4.5000,4.6500,4.4100,4.6100,10703643
2018-01-29,4.3800,4.5800,4.3700,4.4900,9810075
2018-01-26,4.3100,4.4100,4.2300,4.3200,7681159
2018-01-25,4.2500,4.3850,4.1800,4.3000,6617518
2018-01-24,4.1600,4.3100,4.1500,4.2100,11406562
2018-01-23,4.1500,4.2000,4.0900,4.1600,8252712
2018-01-22,4.3600,4.3600,4.0900,4.1300,14933891
